sequence,timestamp_ms,operation
3,1775171271908,
5,1775171271910,
2,1775171271911,
1,1775171271913,
7,1775171271915,
8,1775171271915,
10,1775171271916,
9,1775171271917,
11,1775171271940,
13,1775171271942,
12,1775171271944,
15,1775171271945,
17,1775171271947,
14,1775171271948,
16,1775171271949,
18,1775171271950,
21,1775171271953,
19,1775171271955,
24,1775171271955,
22,1775171271956,
20,1775171271957,
23,1775171271958,
28,1775171271961,
27,1775171271961,
25,1775171271962,
26,1775171271962,
31,1775171271963,
29,1775171271964,
32,1775171271965,
30,1775171271965,
34,1775171271968,
33,1775171271969,
35,1775171271971,
37,1775171271972,
36,1775171271973,
38,1775171271974,
39,1775171271975,
40,1775171271978,
42,1775171271980,
43,1775171271982,
41,1775171271983,
44,1775171271984,
45,1775171271984,
46,1775171271988,
47,1775171271990,
50,1775171271994,
51,1775171271995,
49,1775171271995,
52,1775171271996,
53,1775171271997,
54,1775171272003,
55,1775171272006,
56,1775171272007,
58,1775171272009,
57,1775171272009,
59,1775171272011,
60,1775171272012,
61,1775171272015,
62,1775171272016,
66,1775171272017,
63,1775171272018,
67,1775171272019,
65,1775171272020,
68,1775171272021,
64,1775171272021,
69,1775171272023,
72,1775171272024,
70,1775171272024,
73,1775171272025,
74,1775171272027,
76,1775171272027,
75,1775171272028,
77,1775171272030,
78,1775171272030,
80,1775171272034,
79,1775171272035,
81,1775171272036,
82,1775171272040,
83,1775171272041,
84,1775171272042,
90,1775171272042,
88,1775171272043,
86,1775171272043,
92,1775171272044,
94,1775171272046,
89,1775171272046,
91,1775171272046,
87,1775171272047,
95,1775171272047,
98,1775171272048,
93,1775171272048,
97,1775171272049,
100,1775171272050,
99,1775171272051,
1,1775173735303,
2,1775173735305,
3,1775173735309,
6,1775173735310,
4,1775173735310,
7,1775173735312,
8,1775173735313,
9,1775173735314,
10,1775173735314,
11,1775173735316,
14,1775173735318,
13,1775173735319,
16,1775173735320,
17,1775173735321,
15,1775173735323,
19,1775173735324,
18,1775173735325,
20,1775173735327,
21,1775173735328,
23,1775173735329,
24,1775173735330,
26,1775173735331,
25,1775173735334,
27,1775173735335,
28,1775173735338,
31,1775173735339,
32,1775173735339,
29,1775173735340,
34,1775173735343,
33,1775173735344,
36,1775173735346,
35,1775173735347,
37,1775173735349,
38,1775173735351,
41,1775173735352,
43,1775173735354,
42,1775173735356,
45,1775173735357,
46,1775173735359,
48,1775173735360,
47,1775173735361,
49,1775173735363,
50,1775173735364,
52,1775173735367,
51,1775173735367,
57,1775173735370,
58,1775173735373,
56,1775173735374,
59,1775173735375,
61,1775173735376,
63,1775173735379,
62,1775173735379,
65,1775173735381,
64,1775173735381,
66,1775173735382,
68,1775173735387,
71,1775173735388,
72,1775173735389,
69,1775173735389,
70,1775173735390,
73,1775173735391,
74,1775173735391,
77,1775173735395,
78,1775173735395,
81,1775173735400,
80,1775173735400,
84,1775173735405,
82,1775173735405,
85,1775173735406,
86,1775173735407,
88,1775173735409,
87,1775173735410,
90,1775173735413,
89,1775173735414,
92,1775173735415,
91,1775173735416,
95,1775173735420,
96,1775173735422,
99,1775173735423,
2,1775174301219,
3,1775174301220,
7,1775174301225,
5,1775174301225,
4,1775174301226,
6,1775174301227,
10,1775174301229,
11,1775174301234,
14,1775174301235,
15,1775174301235,
16,1775174301237,
17,1775174301237,
18,1775174301240,
20,1775174301241,
19,1775174301242,
23,1775174301244,
25,1775174301247,
26,1775174301251,
29,1775174301252,
31,1775174301253,
27,1775174301254,
32,1775174301255,
35,1775174301261,
36,1775174301262,
39,1775174301263,
41,1775174301268,
40,1775174301269,
45,1775174301270,
42,1775174301271,
46,1775174301273,
47,1775174301273,
48,1775174301274,
49,1775174301275,
52,1775174301280,
54,1775174301281,
51,1775174301282,
55,1775174301283,
53,1775174301284,
56,1775174301285,
60,1775174301288,
58,1775174301289,
57,1775174301290,
62,1775174301295,
66,1775174301297,
65,1775174301298,
63,1775174301299,
64,1775174301300,
67,1775174301300,
68,1775174301301,
71,1775174301304,
70,1775174301306,
69,1775174301306,
73,1775174301307,
74,1775174301310,
77,1775174301313,
76,1775174301313,
80,1775174301314,
78,1775174301315,
81,1775174301316,
82,1775174301316,
83,1775174301318,
84,1775174301321,
85,1775174301322,
88,1775174301324,
86,1775174301326,
90,1775174301328,
89,1775174301329,
91,1775174301332,
93,1775174301333,
95,1775174301333,
94,1775174301334,
92,1775174301334,
96,1775174301335,
97,1775174301337,
99,1775174301340,
3,1775174530032,
2,1775174530038,
5,1775174530039,
1,1775174530040,
6,1775174530046,
7,1775174530046,
8,1775174530048,
9,1775174530050,
11,1775174530051,
10,1775174530053,
14,1775174530056,
13,1775174530059,
12,1775174530060,
15,1775174530082,
16,1775174530084,
17,1775174530092,
18,1775174530095,
19,1775174530096,
20,1775174530101,
21,1775174530105,
22,1775174530111,
23,1775174530117,
25,1775174530118,
24,1775174530121,
26,1775174530123,
27,1775174530127,
29,1775174530135,
30,1775174530138,
28,1775174530139,
31,1775174530139,
32,1775174530141,
33,1775174530146,
34,1775174530147,
36,1775174530150,
37,1775174530152,
38,1775174530152,
39,1775174530153,
40,1775174530154,
35,1775174530154,
41,1775174530155,
43,1775174530155,
44,1775174530156,
46,1775174530157,
45,1775174530157,
42,1775174530158,
49,1775174530159,
51,1775174530159,
50,1775174530160,
47,1775174530161,
48,1775174530161,
53,1775174530163,
55,1775174530164,
54,1775174530164,
52,1775174530165,
56,1775174530165,
57,1775174530166,
59,1775174530167,
60,1775174530167,
61,1775174530168,
62,1775174530168,
63,1775174530169,
65,1775174530169,
58,1775174530170,
64,1775174530171,
66,1775174530171,
67,1775174530172,
68,1775174530173,
72,1775174530180,
75,1775174530181,
71,1775174530181,
73,1775174530182,
70,1775174530182,
74,1775174530183,
69,1775174530183,
80,1775174530183,
77,1775174530184,
76,1775174530185,
82,1775174530186,
79,1775174530187,
85,1775174530187,
89,1775174530188,
84,1775174530188,
87,1775174530189,
83,1775174530189,
86,1775174530189,
78,1775174530190,
81,1775174530190,
95,1775174530191,
91,1775174530191,
92,1775174530192,
90,1775174530192,
99,1775174530192,
1,1775176625568,
2,1775176625569,
3,1775176625570,
4,1775176625571,
5,1775176625572,
6,1775176625574,
7,1775176625575,
8,1775176625577,
9,1775176625578,
10,1775176625580,
11,1775176625582,
12,1775176625583,
13,1775176625585,
14,1775176625587,
15,1775176625589,
16,1775176625591,
17,1775176625593,
18,1775176625596,
19,1775176625598,
20,1775176625599,
21,1775176625602,
22,1775176625604,
23,1775176625606,
24,1775176625608,
25,1775176625611,
26,1775176625613,
27,1775176625617,
28,1775176625620,
29,1775176625622,
30,1775176625627,
31,1775176625628,
32,1775176625630,
33,1775176625633,
34,1775176625637,
35,1775176625640,
36,1775176625640,
37,1775176625644,
38,1775176625646,
39,1775176625648,
40,1775176625649,
41,1775176625651,
42,1775176625652,
43,1775176625655,
44,1775176625658,
45,1775176625659,
46,1775176625661,
47,1775176625822,
48,1775176625824,
49,1775176625824,
50,1775176625825,
51,1775176625826,
52,1775176625830,
53,1775176625848,
54,1775176625849,
55,1775176625850,
56,1775176625852,
57,1775176625853,
58,1775176625854,
59,1775176625989,
60,1775176625990,
61,1775176625992,
62,1775176625993,
63,1775176625994,
64,1775176625994,
65,1775176625997,
66,1775176626146,
67,1775176626146,
68,1775176626147,
69,1775176626148,
70,1775176626149,
71,1775176626149,
72,1775176626151,
73,1775176626151,
74,1775176626152,
75,1775176626152,
76,1775176626153,
77,1775176626153,
80,1775176626153,
78,1775176626154,
81,1775176626154,
79,1775176626155,
82,1775176626318,
83,1775176626320,
84,1775176626320,
85,1775176626321,
88,1775176626321,
89,1775176626323,
90,1775176626324,
91,1775176626324,
87,1775176626326,
92,1775176626327,
86,1775176626327,
93,1775176626329,
94,1775176626330,
95,1775176626330,
96,1775176626331,
97,1775176626332,
98,1775176626336,
99,1775176626464,
